,buildingId,lotId,price,latLong,minBeds,minBaths,minArea,imgSrc,hasImage,plid,isFeaturedListing,unitCount,buildingName,isBuilding,address,variableData,badgeInfo,statusType,statusText,listingType,isFavorite,detailUrl,has3DModel,hasAdditionalAttributions,canSaveBuilding,zpid,priceLabel,beds,baths,area,isUserClaimingOwner,isUserConfirmedClaim,visited,hdpData,pgapt,sgapt,hasVideo,isHomeRec,availabilityDate,streetViewMetadataURL,streetViewURL
10,33.002377--96.72915,1001412520.0,"$1,818+/mo","{'latitude': 33.002377, 'longitude': -96.72915}",1.0,1.0,831.0,https://photos.zillowstatic.com/fp/1cb642b9fcbdfe148e0e4e88341fb282-p_e.jpg,True,4nmtx662emf10,True,7.0,Creekside Townhomes,True,"3650 Custer Pkwy, Richardson, TX",{},,FOR_RENT,Creekside Townhomes,,False,/b/creekside-townhomes-richardson-tx-5XhsRD/,False,False,True,,,,,,,,,,,,,,,,
11,32.989456--96.71343,2295863462.0,"$1,548+/mo","{'latitude': 32.989456, 'longitude': -96.71343}",1.0,1.0,688.0,https://photos.zillowstatic.com/fp/75f60f3e6d5b165fc4d70492a8c60093-p_e.jpg,True,vh4b6d2gbvhy,True,10.0,The Flats at Palisades Apartments,True,"2625 Empire Dr, Richardson, TX",{},,FOR_RENT,The Flats at Palisades Apartments,,False,/b/the-flats-at-palisades-apartments-richardson-tx-B8GWMN/,False,False,True,,,,,,,,,,,,,,,,
12,32.985794--96.668144,1001621758.0,"$1,150+/mo","{'latitude': 32.985794, 'longitude': -96.668144}",1.0,1.0,706.0,https://photos.zillowstatic.com/fp/48dbe685068dcb0ea14d8faabda48c0d-p_e.jpg,True,1pp8vkygnxhwj,True,5.0,Villages at Clear Springs,True,"2600 Clear Springs Dr, Richardson, TX",{},,FOR_RENT,Villages at Clear Springs,,False,/b/villages-at-clear-springs-richardson-tx-5XkdZN/,False,False,True,,,,,,,,,,,,,,,,
13,32.999035--96.71395,1002358974.0,"$1,748+/mo","{'latitude': 32.999035, 'longitude': -96.71395}",1.0,1.0,844.0,https://photos.zillowstatic.com/fp/52fa1e1e94d7a940b33f29d5d335af16-p_e.jpg,True,1yt1f7x8j153r,True,10.0,Homes of Prairie Springs,True,"280 W Renner Rd, Richardson, TX",{},,FOR_RENT,Homes of Prairie Springs,,False,/b/homes-of-prairie-springs-richardson-tx-5Xsvcb/,False,False,True,,,,,,,,,,,,,,,,
14,32.98749--96.7153,2287346479.0,"$1,568+/mo","{'latitude': 32.98749, 'longitude': -96.7153}",0.0,1.0,611.0,https://photos.zillowstatic.com/fp/fcb40578dbecd39f802e0b59e4693226-p_e.jpg,True,4bu0xn2u6hmnb,True,9.0,The Lofts at Palisades Apartments,True,"2525 Empire Dr, Richardson, TX",{},,FOR_RENT,The Lofts at Palisades Apartments,,False,/b/the-lofts-at-palisades-apartments-richardson-tx-B6n86P/,False,False,True,,,,,,,,,,,,,,,,
15,32.999744--96.69648,2425695899.0,"$1,504+/mo","{'latitude': 32.999744, 'longitude': -96.69648}",1.0,1.0,542.0,https://photos.zillowstatic.com/fp/0914a6e1d8200ffcff5c2e603b140fc3-p_e.jpg,True,36patc0127zcm,True,30.0,The Register,True,"3520 Wilshire Way, Richardson, TX",{},,FOR_RENT,The Register,,False,/b/the-register-richardson-tx-BZn5fx/,False,False,True,,,,,,,,,,,,,,,,
16,,,"$2,800/mo","{'latitude': 32.946503, 'longitude': -96.6906}",,,,https://photos.zillowstatic.com/fp/257f7ae41f162777891318035ad6522c-p_e.jpg,True,,False,,,,--,"{'type': 'TIME_ON_INFO', 'text': '7 days ago', 'data': {'isFresh': False}}",,FOR_RENT,House for rent,,False,/homedetails/1804-Marquette-Dr-Richardson-TX-75081/27165961_zpid/,False,False,,27165961,$2.8K,4.0,2.0,2024.0,False,False,False,"{'homeInfo': {'zpid': 27165961, 'zipcode': '75081', 'city': 'Richardson', 'state': 'TX', 'latitude': 32.946503, 'longitude': -96.6906, 'price': 2800.0, 'bathrooms': 2.0, 'bedrooms': 4.0, 'livingArea': 2024.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'zestimate': 412100, 'rentZestimate': 2497, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 2800.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 267140.0, 'lotAreaValue': 8400.0, 'lotAreaUnit': 'sqft'}}",ForRent,For Rent,False,False,2022-09-22 00:00:00,,
17,,,"$2,500/mo","{'latitude': 32.976322, 'longitude': -96.75801}",,,,https://photos.zillowstatic.com/fp/700311dfd73c52fea37bd98e1f39927d-p_e.jpg,True,,True,,,,--,"{'type': 'TIME_ON_INFO', 'text': '13 days ago', 'data': {'isFresh': False}}",,FOR_RENT,House for rent,,False,/homedetails/1108-Huntington-Dr-Richardson-TX-75080/27168354_zpid/,False,False,,27168354,$2.5K,3.0,3.0,2083.0,False,False,False,"{'homeInfo': {'zpid': 27168354, 'zipcode': '75080', 'city': 'Richardson', 'state': 'TX', 'latitude': 32.976322, 'longitude': -96.75801, 'price': 2500.0, 'bathrooms': 3.0, 'bedrooms': 3.0, 'livingArea': 2083.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'zestimate': 511300, 'rentZestimate': 2725, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 2500.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 361930.0, 'lotAreaValue': 8999.0, 'lotAreaUnit': 'sqft'}}",ForRent,For Rent,False,False,2022-09-08 00:00:00,,
18,,,"$3,500/mo","{'latitude': 33.001198, 'longitude': -96.62101}",,,,https://photos.zillowstatic.com/fp/1b07c6b4c7b97c1fddab93b490a99786-p_e.jpg,True,,True,,,,--,"{'type': 'TIME_ON_INFO', 'text': '13 days ago', 'data': {'isFresh': False}}",,FOR_RENT,House for rent,,False,/homedetails/5432-Caine-Rd-Richardson-TX-75082/168648208_zpid/,False,False,,168648208,$3.5K,4.0,3.0,2733.0,False,False,False,"{'homeInfo': {'zpid': 168648208, 'zipcode': '75082', 'city': 'Richardson', 'state': 'TX', 'latitude': 33.001198, 'longitude': -96.62101, 'price': 3500.0, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 2733.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'zestimate': 615700, 'rentZestimate': 2799, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 3500.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 427402.0, 'lotAreaValue': 3598.0, 'lotAreaUnit': 'sqft'}}",ForRent,For Rent,False,False,2022-09-05 00:00:00,,
19,,,"$3,300/mo","{'latitude': 32.996845, 'longitude': -96.63858}",,,,https://photos.zillowstatic.com/fp/750dcd1836f53576bb1a77bfc4ed8516-p_e.jpg,True,,False,,,,--,"{'type': 'TIME_ON_INFO', 'text': '106 days ago', 'data': {'isFresh': False}}",,FOR_RENT,House for rent,,False,/homedetails/4405-Beck-Dr-Richardson-TX-75082/53111772_zpid/,False,False,,53111772,$3.3K,5.0,2.5,3142.0,False,False,False,"{'homeInfo': {'zpid': 53111772, 'zipcode': '75082', 'city': 'Richardson', 'state': 'TX', 'latitude': 32.996845, 'longitude': -96.63858, 'price': 3300.0, 'datePriceChanged': 1661756400000, 'bathrooms': 2.5, 'bedrooms': 5.0, 'livingArea': 3142.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'zestimate': 586400, 'rentZestimate': 3028, 'listing_sub_type': {}, 'priceReduction': '$200 (Aug 29)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 3300.0, 'priceChange': -200, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 435146.0}}",ForRent,For Rent,False,False,,,
20,,,"$2,550/mo","{'latitude': 32.95258, 'longitude': -96.73987}",,,,https://photos.zillowstatic.com/fp/98643be1be1fe565a031ce6c8258987a-p_e.jpg,True,,True,,,,--,"{'type': 'TIME_ON_INFO', 'text': '10 days ago', 'data': {'isFresh': False}}",,FOR_RENT,House for rent,,False,/homedetails/603-Westwood-Dr-Richardson-TX-75080/27170004_zpid/,False,False,,27170004,$2.6K,3.0,2.0,1623.0,False,False,False,"{'homeInfo': {'zpid': 27170004, 'zipcode': '75080', 'city': 'Richardson', 'state': 'TX', 'latitude': 32.95258, 'longitude': -96.73987, 'price': 2550.0, 'datePriceChanged': 1663138800000, 'bathrooms': 2.0, 'bedrooms': 3.0, 'livingArea': 1623.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'zestimate': 375900, 'rentZestimate': 2528, 'listing_sub_type': {}, 'priceReduction': '$50 (Sep 14)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 2550.0, 'priceChange': -50, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 220000.0, 'lotAreaValue': 8319.0, 'lotAreaUnit': 'sqft'}}",ForRent,For Rent,False,False,2022-09-05 00:00:00,,
21,,,"$3,395/mo","{'latitude': 33.000603, 'longitude': -96.65518}",,,,https://photos.zillowstatic.com/fp/3cf2d56946c86a1ede0dac3b041a4456-p_e.jpg,True,,True,,,,--,"{'type': 'TIME_ON_INFO', 'text': '23 days ago', 'data': {'isFresh': False}}",,FOR_RENT,House for rent,,False,/homedetails/3604-Blackwood-Ct-Richardson-TX-75082/53111843_zpid/,False,False,,53111843,$3.4K,5.0,4.0,3387.0,False,False,False,"{'homeInfo': {'zpid': 53111843, 'zipcode': '75082', 'city': 'Richardson', 'state': 'TX', 'latitude': 33.000603, 'longitude': -96.65518, 'price': 3395.0, 'datePriceChanged': 1662706800000, 'bathrooms': 4.0, 'bedrooms': 5.0, 'livingArea': 3387.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'zestimate': 675600, 'rentZestimate': 3684, 'listing_sub_type': {}, 'priceReduction': '$100 (Sep 9)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 3395.0, 'priceChange': -100, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 422263.0, 'lotAreaValue': 0.2660927456382002, 'lotAreaUnit': 'acres'}}",ForRent,For Rent,False,False,2022-08-23 00:00:00,,
22,,,"$3,125/mo","{'latitude': 32.961452, 'longitude': -96.76208}",,,,https://photos.zillowstatic.com/fp/53274bbef11d470e5ed592ba5a92c9c8-p_e.jpg,True,,True,,,,--,"{'type': 'TIME_ON_INFO', 'text': '22 days ago', 'data': {'isFresh': False}}",,FOR_RENT,House for rent,,False,/homedetails/1241-Evergreen-Dr-Richardson-TX-75080/27171673_zpid/,False,False,,27171673,$3.1K,3.0,2.0,1642.0,False,False,False,"{'homeInfo': {'zpid': 27171673, 'zipcode': '75080', 'city': 'Richardson', 'state': 'TX', 'latitude': 32.961452, 'longitude': -96.76208, 'price': 3125.0, 'bathrooms': 2.0, 'bedrooms': 3.0, 'livingArea': 1642.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'zestimate': 464200, 'rentZestimate': 2382, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 3125.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 257180.0, 'lotAreaValue': 0.25826446280991733, 'lotAreaUnit': 'acres'}}",ForRent,For Rent,False,False,2022-10-21 00:00:00,,
23,,,"$1,950/mo","{'latitude': 32.957195, 'longitude': -96.68537}",,,,https://photos.zillowstatic.com/fp/2ad26cca9fcd810e434c8117b3cd4db6-p_e.jpg,True,,False,,,,--,"{'type': 'TIME_ON_INFO', 'text': '16 days ago', 'data': {'isFresh': False}}",,FOR_RENT,House for rent,,False,/homedetails/2020-Auburn-Dr-Richardson-TX-75081/27177726_zpid/,False,False,,27177726,$2.0K,3.0,2.0,1650.0,False,False,False,"{'homeInfo': {'zpid': 27177726, 'zipcode': '75081', 'city': 'Richardson', 'state': 'TX', 'latitude': 32.957195, 'longitude': -96.68537, 'price': 1950.0, 'bathrooms': 2.0, 'bedrooms': 3.0, 'livingArea': 1650.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'zestimate': 695198, 'rentZestimate': 4401, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 1950.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 340000.0, 'lotAreaValue': 0.27548209366391185, 'lotAreaUnit': 'acres'}}",ForRent,For Rent,False,False,2022-09-01 00:00:00,,
24,,,"$3,200/mo","{'latitude': 32.949223, 'longitude': -96.75774}",,,,https://photos.zillowstatic.com/fp/b6cc47cd3731e5f4579a63f0333e51e8-p_e.jpg,True,,False,,,,--,"{'type': 'TIME_ON_INFO', 'text': '13 days ago', 'data': {'isFresh': False}}",,FOR_RENT,House for rent,,False,/homedetails/210-Murray-Ln-Richardson-TX-75080/27167978_zpid/,False,False,,27167978,$3.2K,3.0,3.0,2416.0,False,False,False,"{'homeInfo': {'zpid': 27167978, 'zipcode': '75080', 'city': 'Richardson', 'state': 'TX', 'latitude': 32.949223, 'longitude': -96.75774, 'price': 3200.0, 'datePriceChanged': 1662620400000, 'bathrooms': 3.0, 'bedrooms': 3.0, 'livingArea': 2416.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'zestimate': 531200, 'rentZestimate': 3584, 'listing_sub_type': {}, 'priceReduction': '$300 (Sep 8)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 3200.0, 'priceChange': -300, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 294100.0, 'lotAreaValue': 9452.0, 'lotAreaUnit': 'sqft'}}",ForRent,For Rent,False,False,2022-10-01 00:00:00,,
25,,,"$2,675/mo","{'latitude': 32.97071, 'longitude': -96.68297}",,,,https://photos.zillowstatic.com/fp/e677a7c96f95e67a60155f5ae17fcdeb-p_e.jpg,True,,True,,,,--,"{'type': '3D_HOME', 'text': '3D Tour'}",,FOR_RENT,House for rent,,False,/homedetails/2111-Meredith-Ln-Richardson-TX-75081/27160332_zpid/,True,False,,27160332,$2.7K,4.0,2.0,1938.0,False,False,False,"{'homeInfo': {'zpid': 27160332, 'zipcode': '75081', 'city': 'Richardson', 'state': 'TX', 'latitude': 32.97071, 'longitude': -96.68297, 'price': 2675.0, 'bathrooms': 2.0, 'bedrooms': 4.0, 'livingArea': 1938.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'zestimate': 326600, 'rentZestimate': 2395, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 2675.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 251210.0, 'lotAreaValue': 10375.0, 'lotAreaUnit': 'sqft'}}",ForRent,For Rent,False,False,,,
26,,,"$3,250/mo","{'latitude': 32.988632, 'longitude': -96.72195}",,,,https://photos.zillowstatic.com/fp/00110ccffa2dc27168780f520613fa49-p_e.jpg,True,,True,,,,--,"{'type': '3D_HOME', 'text': '3D Tour'}",,FOR_RENT,House for rent,,False,/homedetails/402-Lawndale-Dr-Richardson-TX-75080/26589217_zpid/,True,False,,26589217,$3.2K,3.0,2.5,1966.0,False,False,False,"{'homeInfo': {'zpid': 26589217, 'zipcode': '75080', 'city': 'Richardson', 'state': 'TX', 'latitude': 32.988632, 'longitude': -96.72195, 'price': 3250.0, 'bathrooms': 2.5, 'bedrooms': 3.0, 'livingArea': 1966.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'zestimate': 537400, 'rentZestimate': 2462, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 3250.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 367424.0, 'lotAreaValue': 9147.0, 'lotAreaUnit': 'sqft'}}",ForRent,For Rent,False,False,2022-09-09 00:00:00,,
27,,,"$3,600/mo","{'latitude': 32.95027, 'longitude': -96.75725}",,,,https://photos.zillowstatic.com/fp/9dcf9422e2e49840d33e0ca0cfd907cd-p_e.jpg,True,,False,,,,--,"{'type': 'TIME_ON_INFO', 'text': '42 days ago', 'data': {'isFresh': False}}",,FOR_RENT,House for rent,,False,/homedetails/201-Murray-Ln-Richardson-TX-75080/27167984_zpid/,False,False,,27167984,$3.6K,4.0,2.5,2330.0,False,False,False,"{'homeInfo': {'zpid': 27167984, 'zipcode': '75080', 'city': 'Richardson', 'state': 'TX', 'latitude': 32.95027, 'longitude': -96.75725, 'price': 3600.0, 'datePriceChanged': 1661497200000, 'bathrooms': 2.5, 'bedrooms': 4.0, 'livingArea': 2330.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'zestimate': 517900, 'rentZestimate': 3252, 'listing_sub_type': {}, 'priceReduction': '$100 (Aug 26)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 3600.0, 'priceChange': -100, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 354320.0, 'lotAreaValue': 6355.0, 'lotAreaUnit': 'sqft'}}",ForRent,For Rent,False,False,,,
28,,,"$1,595/mo","{'latitude': 32.94461, 'longitude': -96.763245}",,,,https://photos.zillowstatic.com/fp/69e7d3c655884ba0db8f9305dd10ee6c-p_e.jpg,True,,True,,,,--,"{'type': 'TIME_ON_INFO', 'text': '50 days ago', 'data': {'isFresh': False}}",,FOR_RENT,Apartment for rent,,False,/homedetails/821-Dublin-Dr-APT-105-Richardson-TX-75080/2082995415_zpid/,False,False,,2082995415,$1.6K,2.0,2.0,1072.0,False,False,False,"{'homeInfo': {'zpid': 2082995415, 'zipcode': '75080', 'city': 'Richardson', 'state': 'TX', 'latitude': 32.94461, 'longitude': -96.763245, 'price': 1595.0, 'datePriceChanged': 1662188400000, 'bathrooms': 2.0, 'bedrooms': 2.0, 'livingArea': 1072.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 1545, 'listing_sub_type': {}, 'priceReduction': '$100 (Sep 3)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 1595.0, 'priceChange': -100, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': 'Apt 105', 'lotAreaValue': 5.001997245179063, 'lotAreaUnit': 'acres'}}",ForRent,For Rent,False,False,,,
